Nov 13 04:01:38 <darutoko>	net, eto chto?
Nov 13 04:05:59 <dreamko_>	ну молодец
Nov 13 04:06:11 <V2g6cH4>	xDDD
Nov 13 04:06:11 <V2g6cH4>	ну пиздец
Nov 13 04:06:17 <epuc>	LOL
Nov 13 04:06:19 <epuc>	Stop swearing :3
Nov 13 04:06:56 <V2g6cH4>	ok, where are you from, epuc?
Nov 13 04:07:03 <epuc>	Australia
Nov 13 04:07:07 <V2g6cH4>	LOL
Nov 13 04:07:18 <V2g6cH4>	epuc, really?
Nov 13 04:07:23 <epuc>	люди здесь гей
Nov 13 04:07:25 <epuc>	Yes
Nov 13 04:07:32 <epuc>	G'day mate
Nov 13 04:07:32 <epuc>	etc
Nov 13 04:07:39 <fuddballs>	straya mate
Nov 13 04:07:40 <V2g6cH4>	xD
Nov 13 04:07:47 <fuddballs>	shrimp on barbies etc
Nov 13 04:08:08 <epuc>	Call mates cunt, call cunts mate.
Nov 13 04:08:21 <V2g6cH4>	ok, it's difficult to get australian visa?
Nov 13 04:08:22 <fuddballs>	its how we roll
Nov 13 04:08:29 <fuddballs>	depends
Nov 13 04:08:30 <epuc>	dreamko_ это пидор
Nov 13 04:08:44 <duzwhale>	it is for russians
Nov 13 04:08:47 <epuc>	Well, if you're Russian, can't you just steal someones identity from the deep net
Nov 13 04:08:55 <duzwhale>	^
Nov 13 04:09:06 <epuc>	Or marry someone like a normal Russian does
Nov 13 04:09:06 <dreamko_>	очень высокоинтеллектуально
Nov 13 04:09:13 <epuc>	убить их всех
Nov 13 04:09:13 <V2g6cH4>	лолшто?
Nov 13 04:09:17 <V2g6cH4>	идентити?
Nov 13 04:09:33 <epuc>	Same thing V2g6cH4
Nov 13 04:09:48 <epuc>	притворяться кем-то другим
Nov 13 04:09:50 <epuc>	^
Nov 13 04:09:52 <epuc>	:3
Nov 13 04:10:10 <V2g6cH4>	блеа, што?
Nov 13 04:10:12 <V2g6cH4>	я нихуя не понял )
Nov 13 04:10:18 <V2g6cH4>	визу-то получил?
Nov 13 04:10:35 <V2g6cH4>	epuc, или ты мегатрон из сахателекома?
Nov 13 04:10:36 <epuc>	lol
Nov 13 04:10:58 <epuc>	no
Nov 13 04:10:59 <epuc>	Megatron is a transformer dude
Nov 13 04:11:04 <epuc>	da fuck are you talking about
Nov 13 04:11:11 <ichaleynbin>	LMFAO
Nov 13 04:11:14 <V2g6cH4>	thnx for info
Nov 13 04:11:15 <V2g6cH4>	lol
Nov 13 04:11:23 <epuc>	украсть чей-то личности и прийти в Австралию
Nov 13 04:11:24 <ichaleynbin>	lol
Nov 13 04:11:29 <ichaleynbin>	that was just.... omg
Nov 13 04:11:29 <epuc>	hahaha
Nov 13 04:11:45 <V2g6cH4>	epuc, WHAT?!
Nov 13 04:12:00 <epuc>	Я шучу
Nov 13 04:12:01 <epuc>	LOL
Nov 13 04:12:13 <epuc>	Dude your country uses fucked up writing
Nov 13 04:12:39 <V2g6cH4>	dude, where are you from?
Nov 13 04:13:20 <epuc>	Австралию
Nov 13 04:13:20 <V2g6cH4>	да не пизди
Nov 13 04:13:23 <epuc>	lol Australia in russian starts with Abc
Nov 13 04:13:25 <V2g6cH4>	а визу как получил?
Nov 13 04:13:46 <epuc>	When are you coming here then?
Nov 13 04:13:51 <epuc>	And why are you asking if you already have a VISA
Nov 13 04:14:08 <V2g6cH4>	orly? where? xD
Nov 13 04:14:10 <epuc>	Дикс в моей заднице
Nov 13 04:14:15 <epuc>	:3
Nov 13 04:15:03 <V2g6cH4>	дикс дал тебе визу?
Nov 13 04:15:09 <epuc>	LOL
Nov 13 04:15:14 <V2g6cH4>	и сейчас он в твоей заднице?
Nov 13 04:15:22 <V2g6cH4>	лол, странный способ
Nov 13 04:15:34 <V2g6cH4>	у них же целевой набор рабочих есть
Nov 13 04:16:07 <epuc>	fucking lol
Nov 13 04:16:55 <epuc>	Могу ли я получить раба детский секс в России?
Nov 13 04:17:23 <V2g6cH4>	yes, call 02
Nov 13 04:17:25 <epuc>	that's all?
Nov 13 04:17:26 <epuc>	I have to do
Nov 13 04:17:41 <V2g6cH4>	it's a police, they can help you with slave childrens xD
Nov 13 04:17:46 <epuc>	hnnnnnng
Nov 13 04:18:07 <epuc>	Why I ought to
Nov 13 04:18:07 <epuc>	shakefist.gif
Nov 13 04:18:22 <epuc>	Я хочу ебать детей
Nov 13 04:18:25 <V2g6cH4>	zomfg, you'r use web client for irc?
Nov 13 04:18:31 <fuddballs>	wot
Nov 13 04:18:33 <epuc>	Me? no
Nov 13 04:18:40 <epuc>	I typed that idiet
Nov 13 04:18:51 <fuddballs>	web client is for knobs
Nov 13 04:18:52 <V2g6cH4>	too stiupid to be from russia xD
Nov 13 04:18:58 <V2g6cH4>	i got you xD
Nov 13 04:19:04 <epuc>	um
Nov 13 04:19:18 <epuc>	Я собираюсь тебя насиловать >:)
Nov 13 04:19:32 <V2g6cH4>	lol, ok
Nov 13 04:19:48 <epuc>	краны краны краны краны краны краны краны
Nov 13 04:19:58 <V2g6cH4>	zomfg
Nov 13 04:20:13 <V2g6cH4>	why u are so stupid?
Nov 13 04:21:02 <epuc>	I'M NOT U ARE
Nov 13 04:21:06 <epuc>	why the fuck are you even in here
